transaction_id,customer_id,date,time,description,payee,amount,channel
T_C007_0002,C007,2026-06-07,12:54:00,Payment to Payee_A_C007,Payee_A_C007,26.79,Web
T_C006_0001,C006,2026-06-07,13:01:00,Payment to Payee_B_C006,Payee_B_C006,77.59,Web
T_C005_0002,C005,2026-06-07,13:19:00,Payment to Payee_C_C005,Payee_C_C005,91.54,Web
T_C005_0001,C005,2026-06-07,14:15:00,Payment to Payee_B_C005,Payee_B_C005,72.54,Web
T_C003_0001,C003,2026-06-07,14:36:00,Payment to Payee_B_C003,Payee_B_C003,60.25,Web
T_C004_0001,C004,2026-06-07,15:56:00,Payment to Payee_A_C004,Payee_A_C004,58.94,Web
T_C002_0001,C002,2026-06-07,18:05:00,Payment to Payee_C_C002,Payee_C_C002,49.73,Web
T_C007_0001,C007,2026-06-07,20:13:00,Payment to Payee_B_C007,Payee_B_C007,73.27,Web
T_C004_0002,C004,2026-06-08,08:25:00,Payment to Payee_A_C004,Payee_A_C004,80.28,Web
T_C003_0003,C003,2026-06-08,08:36:00,Payment to Payee_C_C003,Payee_C_C003,131.11,Web
T_C003_0002,C003,2026-06-08,08:53:00,Payment to Payee_B_C003,Payee_B_C003,102.15,Web
T_C006_0002,C006,2026-06-08,09:07:00,Payment to Payee_C_C006,Payee_C_C006,126.38,Web
T_C002_0002,C002,2026-06-08,09:52:00,Payment to Payee_A_C002,Payee_A_C002,143.28,Web
T_C006_0003,C006,2026-06-08,10:22:00,Payment to Payee_B_C006,Payee_B_C006,53.66,Web
T_C007_0004,C007,2026-06-08,13:09:00,Payment to Payee_A_C007,Payee_A_C007,22.77,Web
T_C004_0004,C004,2026-06-08,13:59:00,Payment to Payee_C_C004,Payee_C_C004,23.87,Web
T_C004_0003,C004,2026-06-08,14:05:00,Payment to Payee_A_C004,Payee_A_C004,62.49,Web
T_C002_0003,C002,2026-06-08,18:19:00,Payment to Payee_A_C002,Payee_A_C002,41.45,Web
T_C007_0003,C007,2026-06-08,19:44:00,Payment to Payee_A_C007,Payee_A_C007,94.46,Web
T_C006_0004,C006,2026-06-08,20:13:00,Payment to Payee_B_C006,Payee_B_C006,82.96,Web
T_C002_0004,C002,2026-06-09,08:02:00,Payment to Payee_B_C002,Payee_B_C002,44.28,Web
T_C006_0007,C006,2026-06-09,09:01:00,Payment to Payee_C_C006,Payee_C_C006,128.89,Web
T_C006_0005,C006,2026-06-09,09:28:00,Payment to Payee_B_C006,Payee_B_C006,111.08,Web
T_C001_0001,C001,2026-06-09,11:14:00,Payment to Payee_A_C001,Payee_A_C001,29.54,Web
T_C007_0006,C007,2026-06-09,12:52:00,Payment to Payee_A_C007,Payee_A_C007,148.69,Web
T_C006_0006,C006,2026-06-09,13:04:00,Payment to Payee_C_C006,Payee_C_C006,52.04,Web
T_C007_0005,C007,2026-06-09,14:32:00,Payment to Payee_B_C007,Payee_B_C007,16.85,Web
T_C004_0006,C004,2026-06-09,15:44:00,Payment to Payee_C_C004,Payee_C_C004,126.36,Web
T_C005_0004,C005,2026-06-09,18:07:00,Payment to Payee_A_C005,Payee_A_C005,75.16,Web
T_C005_0003,C005,2026-06-09,18:23:00,Payment to Payee_A_C005,Payee_A_C005,106.99,Web
T_C001_0002,C001,2026-06-09,18:47:00,Payment to Payee_A_C001,Payee_A_C001,134.91,Web
T_C004_0005,C004,2026-06-09,20:09:00,Payment to Payee_B_C004,Payee_B_C004,29.26,Web
T_C001_0003,C001,2026-06-10,08:01:00,Payment to Payee_A_C001,Payee_A_C001,23.12,Web
T_C004_0008,C004,2026-06-10,08:16:00,Payment to Payee_A_C004,Payee_A_C004,40.19,Web
T_C007_0009,C007,2026-06-10,09:00:00,Payment to Payee_A_C007,Payee_A_C007,18.63,Web
T_C007_0008,C007,2026-06-10,09:29:00,Payment to Payee_A_C007,Payee_A_C007,24.27,Web
T_C005_0007,C005,2026-06-10,12:23:00,Payment to Payee_A_C005,Payee_A_C005,96.05,Web
T_C003_0004,C003,2026-06-10,12:49:00,Payment to Payee_C_C003,Payee_C_C003,121.84,Web
T_C007_0007,C007,2026-06-10,15:35:00,Payment to Payee_A_C007,Payee_A_C007,114.73,Web
T_C004_0007,C004,2026-06-10,15:39:00,Payment to Payee_A_C004,Payee_A_C004,10.74,Web
T_C001_0004,C001,2026-06-10,16:38:00,Payment to Payee_A_C001,Payee_A_C001,13.72,Web
T_C004_0009,C004,2026-06-10,16:46:00,Payment to Payee_B_C004,Payee_B_C004,95.24,Web
T_C003_0006,C003,2026-06-10,17:16:00,Payment to Payee_C_C003,Payee_C_C003,104.89,Web
T_C005_0005,C005,2026-06-10,18:32:00,Payment to Payee_C_C005,Payee_C_C005,139.23,Web
T_C001_0005,C001,2026-06-10,19:41:00,Payment to Payee_B_C001,Payee_B_C001,108.19,Web
T_C005_0006,C005,2026-06-10,20:19:00,Payment to Payee_C_C005,Payee_C_C005,106.64,Web
T_C003_0005,C003,2026-06-10,20:22:00,Payment to Payee_A_C003,Payee_A_C003,40.66,Web
T_C002_0007,C002,2026-06-11,11:09:00,Payment to Payee_A_C002,Payee_A_C002,101.85,Web
T_C007_0010,C007,2026-06-11,11:52:00,Payment to Payee_C_C007,Payee_C_C007,66.08,Web
T_C002_0005,C002,2026-06-11,14:56:00,Payment to Payee_A_C002,Payee_A_C002,98.17,Web
T_C005_0008,C005,2026-06-11,15:09:00,Payment to Payee_C_C005,Payee_C_C005,73.7,Web
T_C001_0006,C001,2026-06-11,15:37:00,Payment to Payee_A_C001,Payee_A_C001,48.95,Web
T_C003_0007,C003,2026-06-11,18:06:00,Payment to Payee_C_C003,Payee_C_C003,136.48,Web
T_C006_0008,C006,2026-06-11,19:15:00,Payment to Payee_C_C006,Payee_C_C006,82.24,Web
T_C002_0006,C002,2026-06-11,19:44:00,Payment to Payee_B_C002,Payee_B_C002,63.76,Web
T_C004_0010,C004,2026-06-12,11:19:00,Payment to Payee_A_C004,Payee_A_C004,27.06,Web
T_C006_0009,C006,2026-06-12,13:35:00,Payment to Payee_B_C006,Payee_B_C006,69.69,Web
T_C004_0011,C004,2026-06-12,14:40:00,Payment to Payee_B_C004,Payee_B_C004,121.15,Web
T_C005_0009,C005,2026-06-12,14:44:00,Payment to Payee_B_C005,Payee_B_C005,86.89,Web
T_C001_0007,C001,2026-06-12,19:27:00,Payment to Payee_A_C001,Payee_A_C001,57.64,Web
T_C005_0010,C005,2026-06-12,20:34:00,Payment to Payee_A_C005,Payee_A_C005,122.28,Web
T_C007_0011,C007,2026-06-13,09:01:00,Payment to Payee_A_C007,Payee_A_C007,149.6,Web
T_C002_0010,C002,2026-06-13,09:29:00,Payment to Payee_B_C002,Payee_B_C002,28.67,Web
T_C002_0008,C002,2026-06-13,11:11:00,Payment to Payee_C_C002,Payee_C_C002,122.58,Web
T_C002_0009,C002,2026-06-13,16:29:00,Payment to Payee_A_C002,Payee_A_C002,17.03,Web
T_C007_0012,C007,2026-06-13,18:28:00,Payment to Payee_A_C007,Payee_A_C007,123.3,Web
T_C005_0011,C005,2026-06-13,18:48:00,Payment to Payee_A_C005,Payee_A_C005,93.41,Web
T_C003_0009,C003,2026-06-13,19:08:00,Payment to Payee_B_C003,Payee_B_C003,22.62,Web
T_C001_0008,C001,2026-06-13,20:21:00,Payment to Payee_B_C001,Payee_B_C001,24.31,Web
T_C006_0010,C006,2026-06-13,20:25:00,Payment to Payee_A_C006,Payee_A_C006,98.17,Web
T_C003_0008,C003,2026-06-13,20:28:00,Payment to Payee_B_C003,Payee_B_C003,14.67,Web
T_C007_0013,C007,2026-06-14,09:02:00,Payment to Payee_A_C007,Payee_A_C007,141.92,Web
T_C005_0013,C005,2026-06-14,09:03:00,Payment to Payee_C_C005,Payee_C_C005,126.03,Web
T_C007_0014,C007,2026-06-14,10:59:00,Payment to Payee_C_C007,Payee_C_C007,90.34,Web
T_C005_0014,C005,2026-06-14,11:36:00,Payment to Payee_A_C005,Payee_A_C005,85.13,Web
T_C006_0011,C006,2026-06-14,14:01:00,Payment to Payee_A_C006,Payee_A_C006,113.23,Web
T_C006_0012,C006,2026-06-14,15:37:00,Payment to Payee_A_C006,Payee_A_C006,70.14,Web
T_C002_0012,C002,2026-06-14,16:27:00,Payment to Payee_C_C002,Payee_C_C002,126.28,Web
T_C005_0012,C005,2026-06-14,16:45:00,Payment to Payee_C_C005,Payee_C_C005,60.65,Web
T_C006_0013,C006,2026-06-14,19:13:00,Payment to Payee_C_C006,Payee_C_C006,38.81,Web
T_C003_0010,C003,2026-06-14,19:26:00,Payment to Payee_A_C003,Payee_A_C003,34.59,Web
T_C003_0011,C003,2026-06-14,20:34:00,Payment to Payee_B_C003,Payee_B_C003,132.7,Web
T_C002_0011,C002,2026-06-14,20:57:00,Payment to Payee_C_C002,Payee_C_C002,71.96,Web
T_C003_0012,C003,2026-06-15,10:16:00,Payment to Payee_B_C003,Payee_B_C003,137.97,Web
T_C007_0016,C007,2026-06-15,10:22:00,Payment to Payee_A_C007,Payee_A_C007,40.06,Web
T_C002_0013,C002,2026-06-15,10:47:00,Payment to Payee_B_C002,Payee_B_C002,130.61,Web
T_C007_0017,C007,2026-06-15,12:17:00,Payment to Payee_A_C007,Payee_A_C007,72.44,Web
T_C002_0014,C002,2026-06-15,12:48:00,Payment to Payee_C_C002,Payee_C_C002,44.61,Web
T_C002_0015,C002,2026-06-15,12:49:00,Payment to Payee_B_C002,Payee_B_C002,118.87,Web
T_C001_0009,C001,2026-06-15,13:38:00,Payment to Payee_A_C001,Payee_A_C001,47.03,Web
T_C004_0014,C004,2026-06-15,14:00:00,Payment to Payee_A_C004,Payee_A_C004,96.07,Web
T_C007_0015,C007,2026-06-15,15:01:00,Payment to Payee_B_C007,Payee_B_C007,63.58,Web
T_C005_0015,C005,2026-06-15,16:28:00,Payment to Payee_A_C005,Payee_A_C005,26.27,Web
T_C004_0013,C004,2026-06-15,17:15:00,Payment to Payee_B_C004,Payee_B_C004,110.6,Web
T_C004_0012,C004,2026-06-15,17:34:00,Payment to Payee_C_C004,Payee_C_C004,12.3,Web
T_C001_0010,C001,2026-06-15,19:29:00,Payment to Payee_B_C001,Payee_B_C001,85.07,Web
T_C005_0016,C005,2026-06-15,19:37:00,Payment to Payee_C_C005,Payee_C_C005,78.44,Web
T_C003_0013,C003,2026-06-15,20:18:00,Payment to Payee_B_C003,Payee_B_C003,114.52,Web
T_C004_0015,C004,2026-06-16,10:42:00,Payment to Payee_C_C004,Payee_C_C004,103.55,Web
T_C002_0016,C002,2026-06-16,12:28:00,Payment to Payee_B_C002,Payee_B_C002,20.85,Web
T_C004_0016,C004,2026-06-16,13:04:00,Payment to Payee_C_C004,Payee_C_C004,143.48,Web
T_C005_0018,C005,2026-06-16,14:29:00,Payment to Payee_C_C005,Payee_C_C005,88.95,Web
T_C005_0019,C005,2026-06-16,15:43:00,Payment to Payee_C_C005,Payee_C_C005,122.97,Web
T_C004_0017,C004,2026-06-16,16:50:00,Payment to Payee_C_C004,Payee_C_C004,148.37,Web
T_C005_0017,C005,2026-06-16,20:03:00,Payment to Payee_C_C005,Payee_C_C005,73.48,Web
T_C003_0014,C003,2026-06-17,09:09:00,Payment to Payee_A_C003,Payee_A_C003,115.58,Web
T_C002_0017,C002,2026-06-17,12:21:00,Payment to Payee_C_C002,Payee_C_C002,54.76,Web
T_C006_0014,C006,2026-06-17,13:20:00,Payment to Payee_A_C006,Payee_A_C006,37.59,Web
T_C001_0012,C001,2026-06-17,17:12:00,Payment to Payee_A_C001,Payee_A_C001,108.64,Web
T_C007_0018,C007,2026-06-17,18:18:00,Payment to Payee_C_C007,Payee_C_C007,79.84,Web
T_C001_0011,C001,2026-06-17,18:39:00,Payment to Payee_B_C001,Payee_B_C001,133.96,Web
T_C003_0015,C003,2026-06-17,18:46:00,Payment to Payee_B_C003,Payee_B_C003,104.42,Web
T_C003_0016,C003,2026-06-17,20:35:00,Payment to Payee_B_C003,Payee_B_C003,61.21,Web
T_C007_0019,C007,2026-06-18,08:05:00,Payment to Payee_A_C007,Payee_A_C007,49.17,Web
T_C007_0021,C007,2026-06-18,11:40:00,Payment to Payee_C_C007,Payee_C_C007,149.17,Web
T_C004_0019,C004,2026-06-18,12:47:00,Payment to Payee_A_C004,Payee_A_C004,12.27,Web
T_C005_0020,C005,2026-06-18,12:52:00,Payment to Payee_A_C005,Payee_A_C005,10.42,Web
T_C004_0020,C004,2026-06-18,13:15:00,Payment to Payee_C_C004,Payee_C_C004,112.61,Web
T_C006_0016,C006,2026-06-18,13:38:00,Payment to Payee_B_C006,Payee_B_C006,64.41,Web
T_C007_0020,C007,2026-06-18,14:12:00,Payment to Payee_C_C007,Payee_C_C007,99.97,Web
T_C004_0018,C004,2026-06-18,15:02:00,Payment to Payee_B_C004,Payee_B_C004,98.99,Web
T_C005_0021,C005,2026-06-18,17:04:00,Payment to Payee_B_C005,Payee_B_C005,16.34,Web
T_C006_0015,C006,2026-06-18,18:55:00,Payment to Payee_C_C006,Payee_C_C006,78.53,Web
T_C005_0022,C005,2026-06-18,19:04:00,Payment to Payee_A_C005,Payee_A_C005,85.76,Web
T_C001_0013,C001,2026-06-18,20:18:00,Payment to Payee_A_C001,Payee_A_C001,147.93,Web
T_C002_0018,C002,2026-06-19,10:14:00,Payment to Payee_A_C002,Payee_A_C002,63.62,Web
T_C003_0017,C003,2026-06-19,16:07:00,Payment to Payee_C_C003,Payee_C_C003,73.67,Web
T_C003_0018,C003,2026-06-19,19:43:00,Payment to Payee_B_C003,Payee_B_C003,46.7,Web
T_C005_0023,C005,2026-06-20,08:18:00,Payment to Payee_A_C005,Payee_A_C005,67.24,Web
T_C002_0019,C002,2026-06-20,09:26:00,Payment to Payee_C_C002,Payee_C_C002,67.06,Web
T_C003_0019,C003,2026-06-20,09:43:00,Payment to Payee_A_C003,Payee_A_C003,42.74,Web
T_C004_0021,C004,2026-06-20,10:02:00,Payment to Payee_B_C004,Payee_B_C004,59.32,Web
T_C001_0015,C001,2026-06-20,10:23:00,Payment to Payee_C_C001,Payee_C_C001,59.74,Web
T_C001_0014,C001,2026-06-20,12:29:00,Payment to Payee_B_C001,Payee_B_C001,99.0,Web
T_C001_0016,C001,2026-06-20,12:44:00,Payment to Payee_C_C001,Payee_C_C001,141.13,Web
T_C006_0017,C006,2026-06-20,13:54:00,Payment to Payee_A_C006,Payee_A_C006,74.1,Web
T_C005_0025,C005,2026-06-20,14:23:00,Payment to Payee_B_C005,Payee_B_C005,149.0,Web
T_C007_0024,C007,2026-06-20,16:20:00,Payment to Payee_A_C007,Payee_A_C007,64.37,Web
T_C003_0020,C003,2026-06-20,17:56:00,Payment to Payee_B_C003,Payee_B_C003,142.04,Web
T_C004_0022,C004,2026-06-20,18:11:00,Payment to Payee_C_C004,Payee_C_C004,126.25,Web
T_C006_0018,C006,2026-06-20,18:45:00,Payment to Payee_C_C006,Payee_C_C006,122.09,Web
T_C007_0023,C007,2026-06-20,20:31:00,Payment to Payee_C_C007,Payee_C_C007,58.16,Web
T_C005_0024,C005,2026-06-20,20:41:00,Payment to Payee_C_C005,Payee_C_C005,146.97,Web
T_C007_0022,C007,2026-06-20,20:45:00,Payment to Payee_C_C007,Payee_C_C007,60.28,Web
T_C004_0025,C004,2026-06-21,08:18:00,Payment to Payee_A_C004,Payee_A_C004,38.22,Web
T_C002_0022,C002,2026-06-21,08:54:00,Payment to Payee_C_C002,Payee_C_C002,133.29,Web
T_C005_0028,C005,2026-06-21,09:11:00,Payment to Payee_B_C005,Payee_B_C005,149.0,Web
T_C004_0024,C004,2026-06-21,09:45:00,Payment to Payee_B_C004,Payee_B_C004,118.67,Web
T_C002_0020,C002,2026-06-21,14:03:00,Payment to Payee_B_C002,Payee_B_C002,38.96,Web
T_C005_0026,C005,2026-06-21,14:24:00,Payment to Payee_C_C005,Payee_C_C005,21.23,Web
T_C002_0021,C002,2026-06-21,14:57:00,Payment to Payee_C_C002,Payee_C_C002,117.77,Web
T_C005_0027,C005,2026-06-21,16:08:00,Payment to Payee_B_C005,Payee_B_C005,101.49,Web
T_C003_0021,C003,2026-06-21,18:04:00,Payment to Payee_B_C003,Payee_B_C003,98.96,Web
T_C004_0023,C004,2026-06-21,19:30:00,Payment to Payee_A_C004,Payee_A_C004,98.44,Web
T_C003_0023,C003,2026-06-22,08:19:00,Payment to Payee_A_C003,Payee_A_C003,149.43,Web
T_C007_0026,C007,2026-06-22,08:51:00,Payment to Payee_C_C007,Payee_C_C007,148.81,Web
T_C006_0019,C006,2026-06-22,13:07:00,Payment to Payee_A_C006,Payee_A_C006,43.4,Web
T_C002_0023,C002,2026-06-22,15:00:00,Payment to Payee_B_C002,Payee_B_C002,141.98,Web
T_C001_0017,C001,2026-06-22,16:46:00,Payment to Payee_B_C001,Payee_B_C001,44.27,Web
T_C002_0025,C002,2026-06-22,16:47:00,Payment to Payee_C_C002,Payee_C_C002,112.85,Web
T_C007_0025,C007,2026-06-22,17:14:00,Payment to Payee_B_C007,Payee_B_C007,14.1,Web
T_C003_0022,C003,2026-06-22,18:26:00,Payment to Payee_A_C003,Payee_A_C003,26.33,Web
T_C005_0029,C005,2026-06-22,19:14:00,Payment to Payee_A_C005,Payee_A_C005,126.88,Web
T_C002_0024,C002,2026-06-22,20:24:00,Payment to Payee_B_C002,Payee_B_C002,129.48,Web
T_C007_0028,C007,2026-06-23,09:15:00,Payment to Payee_B_C007,Payee_B_C007,101.96,Web
T_C001_0019,C001,2026-06-23,11:43:00,Payment to Payee_A_C001,Payee_A_C001,55.4,Web
T_C001_0020,C001,2026-06-23,11:52:00,Payment to Payee_B_C001,Payee_B_C001,14.49,Web
T_C004_0026,C004,2026-06-23,12:32:00,Payment to Payee_C_C004,Payee_C_C004,65.75,Web
T_C001_0018,C001,2026-06-23,12:59:00,Payment to Payee_C_C001,Payee_C_C001,99.6,Web
T_C006_0020,C006,2026-06-23,13:44:00,Payment to Payee_B_C006,Payee_B_C006,29.79,Web
